Expression	Value	Location	Type	
res.values;8000	0x2001C360 "B\a;..$..0.$.LD...%33C.7.OL"	0x2001C290	char *	
[0]	'B' (0x42)	0x2001C360	char	
[1]	'\a' (0x07)	0x2001C361	char	
[2]	';' (0x3B)	0x2001C362	char	
[3]	'.' (0x19)	0x2001C363	char	
[4]	'.' (0x0F)	0x2001C364	char	
[5]	'$' (0x24)	0x2001C365	char	
[6]	'.' (0x1F)	0x2001C366	char	
[7]	'.' (0x05)	0x2001C367	char	
[8]	'0' (0x30)	0x2001C368	char	
[9]	'.' (0x14)	0x2001C369	char	
[10]	'$' (0x24)	0x2001C36A	char	
[11]	'.' (0x03)	0x2001C36B	char	
[12]	'L' (0x4C)	0x2001C36C	char	
[13]	'D' (0x44)	0x2001C36D	char	
[14]	'.' (0x16)	0x2001C36E	char	
[15]	'.' (0x12)	0x2001C36F	char	
[16]	'.' (0x01)	0x2001C370	char	
[17]	'%' (0x25)	0x2001C371	char	
[18]	'3' (0x33)	0x2001C372	char	
[19]	'3' (0x33)	0x2001C373	char	
[20]	'C' (0x43)	0x2001C374	char	
[21]	'.' (0x15)	0x2001C375	char	
[22]	'7' (0x37)	0x2001C376	char	
[23]	'.' (0x05)	0x2001C377	char	
[24]	'O' (0x4F)	0x2001C378	char	
[25]	'L' (0x4C)	0x2001C379	char	
[26]	'\0' (0x00)	0x2001C37A	char	
[27]	'.' (0x14)	0x2001C37B	char	
[28]	'.' (0x1A)	0x2001C37C	char	
[29]	'"' (0x22)	0x2001C37D	char	
[30]	'.' (0x12)	0x2001C37E	char	
[31]	'F' (0x46)	0x2001C37F	char	
[32]	'M' (0x4D)	0x2001C380	char	
[33]	'.' (0x1C)	0x2001C381	char	
[34]	'.' (0x13)	0x2001C382	char	
[35]	'S' (0x53)	0x2001C383	char	
[36]	'H' (0x48)	0x2001C384	char	
[37]	'.' (0x02)	0x2001C385	char	
[38]	'.' (0x14)	0x2001C386	char	
[39]	'\t' (0x09)	0x2001C387	char	
[40]	'.' (0x13)	0x2001C388	char	
[41]	'.' (0x01)	0x2001C389	char	
[42]	'3' (0x33)	0x2001C38A	char	
[43]	';' (0x3B)	0x2001C38B	char	
[44]	'.' (0x01)	0x2001C38C	char	
[45]	'Q' (0x51)	0x2001C38D	char	
[46]	'I' (0x49)	0x2001C38E	char	
[47]	'\0' (0x00)	0x2001C38F	char	
[48]	'N' (0x4E)	0x2001C390	char	
[49]	'P' (0x50)	0x2001C391	char	
[50]	'\n' (0x0A)	0x2001C392	char	
[51]	'.' (0x17)	0x2001C393	char	
[52]	'.' (0x1E)	0x2001C394	char	
[53]	'.' (0x1A)	0x2001C395	char	
[54]	'.' (0x01)	0x2001C396	char	
[55]	'I' (0x49)	0x2001C397	char	
[56]	'\n' (0x0A)	0x2001C398	char	
[57]	'.' (0x18)	0x2001C399	char	
[58]	'\b' (0x08)	0x2001C39A	char	
[59]	'M' (0x4D)	0x2001C39B	char	
[60]	'P' (0x50)	0x2001C39C	char	
[61]	'\v' (0x0B)	0x2001C39D	char	
[62]	'.' (0x0E)	0x2001C39E	char	
[63]	'.' (0x0E)	0x2001C39F	char	
[64]	'\n' (0x0A)	0x2001C3A0	char	
[65]	'E' (0x45)	0x2001C3A1	char	
[66]	'7' (0x37)	0x2001C3A2	char	
[67]	'I' (0x49)	0x2001C3A3	char	
[68]	'T' (0x54)	0x2001C3A4	char	
[69]	'M' (0x4D)	0x2001C3A5	char	
[70]	'O' (0x4F)	0x2001C3A6	char	
[71]	'Q' (0x51)	0x2001C3A7	char	
[72]	'O' (0x4F)	0x2001C3A8	char	
[73]	'.' (0x02)	0x2001C3A9	char	
[74]	'.' (0x10)	0x2001C3AA	char	
[75]	'.' (0x1A)	0x2001C3AB	char	
[76]	'.' (0x1C)	0x2001C3AC	char	
[77]	'\r' (0x0D)	0x2001C3AD	char	
[78]	'P' (0x50)	0x2001C3AE	char	
[79]	'T' (0x54)	0x2001C3AF	char	
[80]	'.' (0x11)	0x2001C3B0	char	
[81]	'.' (0x10)	0x2001C3B1	char	
[82]	'\0' (0x00)	0x2001C3B2	char	
[83]	'O' (0x4F)	0x2001C3B3	char	
[84]	'.' (0x02)	0x2001C3B4	char	
[85]	'\r' (0x0D)	0x2001C3B5	char	
[86]	'.' (0x0E)	0x2001C3B6	char	
[87]	'\f' (0x0C)	0x2001C3B7	char	
[88]	'R' (0x52)	0x2001C3B8	char	
[89]	'>' (0x3E)	0x2001C3B9	char	
[90]	'@' (0x40)	0x2001C3BA	char	
[91]	'O' (0x4F)	0x2001C3BB	char	
[92]	'P' (0x50)	0x2001C3BC	char	
[93]	'N' (0x4E)	0x2001C3BD	char	
[94]	'P' (0x50)	0x2001C3BE	char	
[95]	'P' (0x50)	0x2001C3BF	char	
[96]	'S' (0x53)	0x2001C3C0	char	
[97]	'\t' (0x09)	0x2001C3C1	char	
[98]	'.' (0x15)	0x2001C3C2	char	
[99]	'.' (0x1B)	0x2001C3C3	char	
[100]	'.' (0x14)	0x2001C3C4	char	
[101]	'.' (0x04)	0x2001C3C5	char	
[102]	'R' (0x52)	0x2001C3C6	char	
[103]	'\b' (0x08)	0x2001C3C7	char	
[104]	'.' (0x10)	0x2001C3C8	char	
[105]	'\b' (0x08)	0x2001C3C9	char	
[106]	'R' (0x52)	0x2001C3CA	char	
[107]	'S' (0x53)	0x2001C3CB	char	
[108]	'\a' (0x07)	0x2001C3CC	char	
[109]	'\r' (0x0D)	0x2001C3CD	char	
[110]	'\r' (0x0D)	0x2001C3CE	char	
[111]	'.' (0x04)	0x2001C3CF	char	
[112]	'H' (0x48)	0x2001C3D0	char	
[113]	'?' (0x3F)	0x2001C3D1	char	
[114]	'H' (0x48)	0x2001C3D2	char	
[115]	'P' (0x50)	0x2001C3D3	char	
[116]	'O' (0x4F)	0x2001C3D4	char	
[117]	'O' (0x4F)	0x2001C3D5	char	
[118]	'P' (0x50)	0x2001C3D6	char	
[119]	'R' (0x52)	0x2001C3D7	char	
[120]	'.' (0x03)	0x2001C3D8	char	
[121]	'.' (0x0F)	0x2001C3D9	char	
[122]	'.' (0x18)	0x2001C3DA	char	
[123]	'.' (0x17)	0x2001C3DB	char	
[124]	'\f' (0x0C)	0x2001C3DC	char	
[125]	'\0' (0x00)	0x2001C3DD	char	
[126]	'.' (0x02)	0x2001C3DE	char	
[127]	'\f' (0x0C)	0x2001C3DF	char	
[128]	'\f' (0x0C)	0x2001C3E0	char	
[129]	'.' (0x02)	0x2001C3E1	char	
[130]	'S' (0x53)	0x2001C3E2	char	
[131]	'.' (0x03)	0x2001C3E3	char	
[132]	'\n' (0x0A)	0x2001C3E4	char	
[133]	'\r' (0x0D)	0x2001C3E5	char	
[134]	'\t' (0x09)	0x2001C3E6	char	
[135]	'Q' (0x51)	0x2001C3E7	char	
[136]	'D' (0x44)	0x2001C3E8	char	
[137]	'D' (0x44)	0x2001C3E9	char	
[138]	'L' (0x4C)	0x2001C3EA	char	
[139]	'O' (0x4F)	0x2001C3EB	char	
[140]	'O' (0x4F)	0x2001C3EC	char	
[141]	'P' (0x50)	0x2001C3ED	char	
[142]	'Q' (0x51)	0x2001C3EE	char	
[143]	'\0' (0x00)	0x2001C3EF	char	
[144]	'\t' (0x09)	0x2001C3F0	char	
[145]	'.' (0x13)	0x2001C3F1	char	
[146]	'.' (0x18)	0x2001C3F2	char	
[147]	'.' (0x12)	0x2001C3F3	char	
[148]	'.' (0x06)	0x2001C3F4	char	
[149]	'.' (0x01)	0x2001C3F5	char	
[150]	'\a' (0x07)	0x2001C3F6	char	
[151]	'\f' (0x0C)	0x2001C3F7	char	
[152]	'\a' (0x07)	0x2001C3F8	char	
[153]	'\0' (0x00)	0x2001C3F9	char	
[154]	'\0' (0x00)	0x2001C3FA	char	
[155]	'.' (0x06)	0x2001C3FB	char	
[156]	'\f' (0x0C)	0x2001C3FC	char	
[157]	'\v' (0x0B)	0x2001C3FD	char	
[158]	'.' (0x02)	0x2001C3FE	char	
[159]	'K' (0x4B)	0x2001C3FF	char	
[160]	'D' (0x44)	0x2001C400	char	
[161]	'H' (0x48)	0x2001C401	char	
[162]	'N' (0x4E)	0x2001C402	char	
[163]	'O' (0x4F)	0x2001C403	char	
[164]	'P' (0x50)	0x2001C404	char	
[165]	'P' (0x50)	0x2001C405	char	
[166]	'S' (0x53)	0x2001C406	char	
[167]	'.' (0x05)	0x2001C407	char	
[168]	'.' (0x0E)	0x2001C408	char	
[169]	'.' (0x15)	0x2001C409	char	
[170]	'.' (0x15)	0x2001C40A	char	
[171]	'\f' (0x0C)	0x2001C40B	char	
[172]	'.' (0x04)	0x2001C40C	char	
[173]	'.' (0x04)	0x2001C40D	char	
[174]	'\t' (0x09)	0x2001C40E	char	
[175]	'\t' (0x09)	0x2001C40F	char	
[176]	'.' (0x03)	0x2001C410	char	
[177]	'\0' (0x00)	0x2001C411	char	
[178]	'.' (0x03)	0x2001C412	char	
[179]	'\t' (0x09)	0x2001C413	char	
[180]	'\v' (0x0B)	0x2001C414	char	
[181]	'.' (0x06)	0x2001C415	char	
[182]	'Q' (0x51)	0x2001C416	char	
[183]	'G' (0x47)	0x2001C417	char	
[184]	'F' (0x46)	0x2001C418	char	
[185]	'K' (0x4B)	0x2001C419	char	
[186]	'N' (0x4E)	0x2001C41A	char	
[187]	'O' (0x4F)	0x2001C41B	char	
[188]	'P' (0x50)	0x2001C41C	char	
[189]	'R' (0x52)	0x2001C41D	char	
[190]	'.' (0x01)	0x2001C41E	char	
[191]	'\t' (0x09)	0x2001C41F	char	
[192]	'.' (0x12)	0x2001C420	char	
[193]	'.' (0x15)	0x2001C421	char	
[194]	'.' (0x10)	0x2001C422	char	
[195]	'\b' (0x08)	0x2001C423	char	
[196]	'.' (0x04)	0x2001C424	char	
[197]	'\a' (0x07)	0x2001C425	char	
[198]	'\t' (0x09)	0x2001C426	char	
[199]	'.' (0x06)	0x2001C427	char	
[200]	'.' (0x01)	0x2001C428	char	
[201]	'.' (0x01)	0x2001C429	char	
[202]	'.' (0x06)	0x2001C42A	char	
[203]	'\n' (0x0A)	0x2001C42B	char	
[204]	'\t' (0x09)	0x2001C42C	char	
[205]	'.' (0x01)	0x2001C42D	char	
[206]	'L' (0x4C)	0x2001C42E	char	
[207]	'G' (0x47)	0x2001C42F	char	
[208]	'H' (0x48)	0x2001C430	char	
[209]	'M' (0x4D)	0x2001C431	char	
[210]	'O' (0x4F)	0x2001C432	char	
[211]	'P' (0x50)	0x2001C433	char	
[212]	'Q' (0x51)	0x2001C434	char	
[213]	'T' (0x54)	0x2001C435	char	
[214]	'.' (0x05)	0x2001C436	char	
[215]	'\r' (0x0D)	0x2001C437	char	
[216]	'.' (0x13)	0x2001C438	char	
[217]	'.' (0x12)	0x2001C439	char	
[218]	'\f' (0x0C)	0x2001C43A	char	
[219]	'.' (0x06)	0x2001C43B	char	
[220]	'.' (0x05)	0x2001C43C	char	
[221]	'\b' (0x08)	0x2001C43D	char	
[222]	'\b' (0x08)	0x2001C43E	char	
[223]	'.' (0x04)	0x2001C43F	char	
[224]	'.' (0x01)	0x2001C440	char	
[225]	'.' (0x04)	0x2001C441	char	
[226]	'\b' (0x08)	0x2001C442	char	
[227]	'\t' (0x09)	0x2001C443	char	
[228]	'.' (0x05)	0x2001C444	char	
[229]	'Q' (0x51)	0x2001C445	char	
[230]	'I' (0x49)	0x2001C446	char	
[231]	'G' (0x47)	0x2001C447	char	
[232]	'J' (0x4A)	0x2001C448	char	
[233]	'N' (0x4E)	0x2001C449	char	
[234]	'O' (0x4F)	0x2001C44A	char	
[235]	'P' (0x50)	0x2001C44B	char	
[236]	'S' (0x53)	0x2001C44C	char	
[237]	'.' (0x02)	0x2001C44D	char	
[238]	'\t' (0x09)	0x2001C44E	char	
[239]	'.' (0x10)	0x2001C44F	char	
[240]	'.' (0x13)	0x2001C450	char	
[241]	'.' (0x0F)	0x2001C451	char	
[242]	'\t' (0x09)	0x2001C452	char	
[243]	'.' (0x05)	0x2001C453	char	
[244]	'\a' (0x07)	0x2001C454	char	
[245]	'\b' (0x08)	0x2001C455	char	
[246]	'.' (0x06)	0x2001C456	char	
[247]	'.' (0x03)	0x2001C457	char	
[248]	'.' (0x03)	0x2001C458	char	
[249]	'.' (0x06)	0x2001C459	char	
[250]	'\t' (0x09)	0x2001C45A	char	
[251]	'\a' (0x07)	0x2001C45B	char	
[252]	'\0' (0x00)	0x2001C45C	char	
[253]	'M' (0x4D)	0x2001C45D	char	
[254]	'H' (0x48)	0x2001C45E	char	
[255]	'I' (0x49)	0x2001C45F	char	
[256]	'L' (0x4C)	0x2001C460	char	
[257]	'O' (0x4F)	0x2001C461	char	
[258]	'P' (0x50)	0x2001C462	char	
[259]	'R' (0x52)	0x2001C463	char	
[260]	'\0' (0x00)	0x2001C464	char	
[261]	'.' (0x06)	0x2001C465	char	
[262]	'\r' (0x0D)	0x2001C466	char	
[263]	'.' (0x11)	0x2001C467	char	
[264]	'.' (0x11)	0x2001C468	char	
[265]	'\f' (0x0C)	0x2001C469	char	
[266]	'\a' (0x07)	0x2001C46A	char	
[267]	'.' (0x06)	0x2001C46B	char	
[268]	'\a' (0x07)	0x2001C46C	char	
[269]	'\a' (0x07)	0x2001C46D	char	
[270]	'.' (0x04)	0x2001C46E	char	
[271]	'.' (0x03)	0x2001C46F	char	
[272]	'.' (0x04)	0x2001C470	char	
[273]	'\a' (0x07)	0x2001C471	char	
[274]	'\b' (0x08)	0x2001C472	char	
[275]	'.' (0x04)	0x2001C473	char	
[276]	'R' (0x52)	0x2001C474	char	
[277]	'K' (0x4B)	0x2001C475	char	
[278]	'I' (0x49)	0x2001C476	char	
[279]	'K' (0x4B)	0x2001C477	char	
[280]	'M' (0x4D)	0x2001C478	char	
[281]	'O' (0x4F)	0x2001C479	char	
[282]	'Q' (0x51)	0x2001C47A	char	
[283]	'S' (0x53)	0x2001C47B	char	
[284]	'.' (0x03)	0x2001C47C	char	
[285]	'\t' (0x09)	0x2001C47D	char	
[286]	'.' (0x0F)	0x2001C47E	char	
[287]	'.' (0x11)	0x2001C47F	char	
[288]	'.' (0x0E)	0x2001C480	char	
[289]	'\t' (0x09)	0x2001C481	char	
[290]	'.' (0x06)	0x2001C482	char	
[291]	'\a' (0x07)	0x2001C483	char	
[292]	'\a' (0x07)	0x2001C484	char	
[293]	'.' (0x05)	0x2001C485	char	
[294]	'.' (0x03)	0x2001C486	char	
[295]	'.' (0x03)	0x2001C487	char	
[296]	'.' (0x06)	0x2001C488	char	
[297]	'\a' (0x07)	0x2001C489	char	
