Expression	Value	Location	Type	
buf[0]	<array>""	0x2001C008	unsigned char[250]	
buf[1]	<array>""	0x2001C102	unsigned char[250]	
Anote.values;8000	0x20000028 "тЖх4йѓ.„.m.¤.x-Ц.йЫЬ“ЌµPPJ?D_S=QЂkuбЪ¶Џ ЃOLC@PXGFgtoЄЬЗЎ–ЏgL..."	0x2001C280	char *	
[0]	'т' (0xF2)	0x20000028	char	
[1]	'Ж' (0xC6)	0x20000029	char	
[2]	'х' (0xF5)	0x2000002A	char	
[3]	'4' (0x34)	0x2000002B	char	
[4]	'й' (0xE9)	0x2000002C	char	
[5]	'ѓ' (0x83)	0x2000002D	char	
[6]	'.' (0x1F)	0x2000002E	char	
[7]	'„' (0x84)	0x2000002F	char	
[8]	'.' (0x13)	0x20000030	char	
[9]	'm' (0x6D)	0x20000031	char	
[10]	'.' (0x1D)	0x20000032	char	
[11]	'¤' (0xA4)	0x20000033	char	
[12]	'.' (0x04)	0x20000034	char	
[13]	'x' (0x78)	0x20000035	char	
[14]	'-' (0x2D)	0x20000036	char	
[15]	'Ц' (0xD6)	0x20000037	char	
[16]	'.' (0x03)	0x20000038	char	
[17]	'й' (0xE9)	0x20000039	char	
[18]	'Ы' (0xDB)	0x2000003A	char	
[19]	'Ь' (0xDC)	0x2000003B	char	
[20]	'“' (0x93)	0x2000003C	char	
[21]	'Ќ' (0x8D)	0x2000003D	char	
[22]	'µ' (0xB5)	0x2000003E	char	
[23]	'P' (0x50)	0x2000003F	char	
[24]	'P' (0x50)	0x20000040	char	
[25]	'J' (0x4A)	0x20000041	char	
[26]	'?' (0x3F)	0x20000042	char	
[27]	'D' (0x44)	0x20000043	char	
[28]	'_' (0x5F)	0x20000044	char	
[29]	'S' (0x53)	0x20000045	char	
[30]	'=' (0x3D)	0x20000046	char	
[31]	'Q' (0x51)	0x20000047	char	
[32]	'Ђ' (0x80)	0x20000048	char	
[33]	'k' (0x6B)	0x20000049	char	
[34]	'u' (0x75)	0x2000004A	char	
[35]	'б' (0xE1)	0x2000004B	char	
[36]	'Ъ' (0xDA)	0x2000004C	char	
[37]	'¶' (0xB6)	0x2000004D	char	
[38]	'Џ' (0x8F)	0x2000004E	char	
[39]	' ' (0xA0)	0x2000004F	char	
[40]	'Ѓ' (0x81)	0x20000050	char	
[41]	'O' (0x4F)	0x20000051	char	
[42]	'L' (0x4C)	0x20000052	char	
[43]	'C' (0x43)	0x20000053	char	
[44]	'@' (0x40)	0x20000054	char	
[45]	'P' (0x50)	0x20000055	char	
[46]	'X' (0x58)	0x20000056	char	
[47]	'G' (0x47)	0x20000057	char	
[48]	'F' (0x46)	0x20000058	char	
[49]	'g' (0x67)	0x20000059	char	
[50]	't' (0x74)	0x2000005A	char	
[51]	'o' (0x6F)	0x2000005B	char	
[52]	'Є' (0xAA)	0x2000005C	char	
[53]	'Ь' (0xDC)	0x2000005D	char	
[54]	'З' (0xC7)	0x2000005E	char	
[55]	'Ў' (0xA1)	0x2000005F	char	
[56]	'–' (0x96)	0x20000060	char	
[57]	'Џ' (0x8F)	0x20000061	char	
[58]	'g' (0x67)	0x20000062	char	
[59]	'L' (0x4C)	0x20000063	char	
[60]	'F' (0x46)	0x20000064	char	
[61]	'@' (0x40)	0x20000065	char	
[62]	'G' (0x47)	0x20000066	char	
[63]	'S' (0x53)	0x20000067	char	
[64]	'N' (0x4E)	0x20000068	char	
[65]	'E' (0x45)	0x20000069	char	
[66]	'U' (0x55)	0x2000006A	char	
[67]	'l' (0x6C)	0x2000006B	char	
[68]	'p' (0x70)	0x2000006C	char	
[69]	'‹' (0x8B)	0x2000006D	char	
[70]	'В' (0xC2)	0x2000006E	char	
[71]	'Р' (0xD0)	0x2000006F	char	
[72]	'і' (0xB3)	0x20000070	char	
[73]	'љ' (0x9A)	0x20000071	char	
[74]	'‘' (0x91)	0x20000072	char	
[75]	'z' (0x7A)	0x20000073	char	
[76]	'X' (0x58)	0x20000074	char	
[77]	'H' (0x48)	0x20000075	char	
[78]	'B' (0x42)	0x20000076	char	
[79]	'B' (0x42)	0x20000077	char	
[80]	'L' (0x4C)	0x20000078	char	
[81]	'O' (0x4F)	0x20000079	char	
[82]	'H' (0x48)	0x2000007A	char	
[83]	'L' (0x4C)	0x2000007B	char	
[84]	'_' (0x5F)	0x2000007C	char	
[85]	'm' (0x6D)	0x2000007D	char	
[86]	'|' (0x7C)	0x2000007E	char	
[87]	'Ґ' (0xA5)	0x2000007F	char	
